,roic_ttm,log_market_cap,pe_ratio,pb_ratio,ps_ratio,roe_ttm,roe_q,roa_ttm,roa_q,gross_profit_margin_ttm,gross_profit_margin_q,profit_margin_q,financial_leverage,debt_to_equity_ratio,cash_ratio,current_ratio,intangible_asset_ratio,total_asset_growth_rate,profit_margin_growth_rate,net_profit_growth_rate,asset_turnover_ttm,asset_turnover_q,operating_revenue_growth_rate,net_operate_cf_growth_rate,contrarian_1m,contrarian_3m,contrarian_6m,contrarian_12m,stock_turnover_1m,stock_turnover_3m,stock_turnover_6m,stock_turnover_12m,bias_stock_turnover_1m,bias_stock_turnover_3m,bias_stock_turnover_6m,bias_stock_turnover_12m,volatility_of_return_1m,volatility_of_return_3m,volatility_of_return_6m,volatility_of_return_12m,sharpe_ratio_20d,sharpe_ratio_60d,sharpe_ratio_120d,pchg,label
300188.XSHE,-0.24307747584978107,-1.427232973483997,-0.8329174192345525,-0.6761002158265694,-0.9270573884485717,-0.883629283750088,-1.0562158884062172,-0.885281651655242,-1.0130987780810246,-0.5582843101075203,-0.5483333946494413,-0.6963077596301657,-1.3984638385118568,0.11827752496753516,0.3007263386127715,-0.06848317765488093,-1.1298970775905206,-0.10357880584081015,0.15579949808834703,-0.022594418021487924,-0.7565947742174449,-1.1651915781427244,-0.3710707425810558,-0.1418644225265286,1.4087005517479476,1.4087005517479476,1.408700551747948,4.301873655119399e-19,-0.8809088063078607,-0.9142318870594079,-1.1664646912218322,-0.5455263724649667,1.148407165713008,0.9866221043049029,0.5404365152388227,1.979416282729097,-1.4087005517479492,-1.408700551747948,-1.4087005517479492,-1.4087005517479476,0.2768545988252093,0.39607083079884264,0.6446968235576795,-0.0037453183520598232,-1
002558.XSHE,-0.09065859728521082,-0.2085429498837836,-0.12393795838625507,-0.1300850268615247,-0.041640649360026254,-0.08441979683518733,-0.058066556867442574,-0.10355797607955673,-0.06109648057277481,-0.11499852361001811,-0.11068362185281627,-0.07870392801349246,-0.1194380013117929,-0.04505317769505776,0.020900888895212414,-0.06890149297700937,-0.03573611545587275,-0.04577669252864807,0.026841295113181902,-0.004653890137492184,-0.0630706272655232,-0.05063314482146784,-0.05357211006537333,0.01383608796345898,0.20927822909194613,0.20927822909194643,0.20927822909194502,4.301873655119399e-19,-0.05669520537429919,-0.052629974676886356,-0.049775833451247344,-0.06883914172773872,0.14127125113784914,0.11016533825187884,0.11644345928411211,0.09556558147628993,-0.20927822909194554,-0.20927822909194577,-0.20927822909194463,-0.209278229091946,0.11279012787494509,0.07540993243462511,0.11264569091332662,-0.004950495049504844,-1
002555.XSHE,-0.09065859728521393,-0.20854294988379424,-0.12393795838626306,-0.13008502686153667,-0.04164064936003043,-0.08441979683518884,-0.05806655686744325,-0.10355797607956044,-0.061096480572778125,-0.11499852361002362,-0.11068362185282096,-0.07870392801349542,-0.11943800131179684,-0.04505317769505813,0.0209008888952139,-0.06890149297701181,-0.0357361154558744,-0.04577669252864851,0.02684129511318159,-0.004653890137492086,-0.06307062726552458,-0.050633144821469266,-0.0535721100653756,0.01383608796346707,0.2092782290919557,0.20927822909195948,0.20927822909195645,4.301873655119399e-19,-0.056695205374300776,-0.052629974676891685,-0.049775833451253214,-0.06883914172775155,0.1412712511378565,0.1101653382518837,0.11644345928411572,0.09556558147628488,-0.20927822909195407,-0.20927822909195662,-0.20927822909195792,-0.20927822909195568,0.1127901278749575,0.07540993243462567,0.11264569091333371,-0.012820512820512775,-1
600406.XSHG,-1.350572906525262,-2.7711700491522713,-2.626699791559831,-0.5295640564741447,-0.5111511276682006,-1.8740724762679908,-1.962661542157506,-2.445144177058887,-1.9698543115223635,-2.637046947608871,-2.529352680199061,-1.6446157730265651,-0.939976912487575,-1.107686106556212,-0.19771401577393458,-0.13064817668394862,-2.441158636552411,-0.06915974139894925,0.6134875914828715,0.21689016173933232,-0.9709133426915534,-0.9227129531249381,-0.3490148863067997,0.7190675253422959,2.3050432239441996,2.3050432239441982,2.305043223944198,4.301873655119399e-19,0.5189451262326154,0.6385200527962954,0.5671686284275513,0.26485538429324657,1.8451314788045599,1.485995601166005,1.7087762664117812,0.6052028203939528,-2.3050432239441982,-2.3050432239441974,-2.3050432239441974,-2.3050432239441982,1.7253580853602735,1.2552566140182888,1.4068655339181535,-0.01591511936339529,-1
300010.XSHE,0.2328284348146354,0.45120144077476054,0.25784844599221807,-0.4727450854030695,-0.26233640829798077,0.36032626932996953,-0.2498238845431469,0.8566462032938067,-0.23965874233740458,-0.100853005669112,-0.25690361602547174,-0.17161439925502284,0.04684273061136527,-0.06039388302804061,-1.4112450591009575,-0.6558511206789063,0.8988080193898829,0.26527269291877176,0.03751011004670465,-0.04069508187046012,0.1031060242317734,0.0500639095271348,0.09252396169364024,-0.008524157523257931,-0.44201378204705305,-0.4420137820470524,-0.4420137820470525,4.301873655119399e-19,-0.9893349494583136,-0.5674937289677577,-0.8937515649568903,-1.0494258287091516,-1.34145902014405,-1.302095588748673,-1.4836842748877261,-2.0050162613777145,0.4420137820470525,0.4420137820470531,0.442013782047053,0.4420137820470527,-0.9298904360483331,-0.9996255996853324,-0.29640392329818765,-0.017110266159695797,-1
002131.XSHE,-0.09065859728520965,-0.20854294988378114,-0.12393795838626002,-0.13008502686154835,-0.04164064936003406,-0.08441979683518011,-0.05806655686744191,-0.10355797607955004,-0.061096480572774337,-0.1149985236100141,-0.11068362185280949,-0.07870392801348779,-0.11943800131179459,-0.0450531776950526,0.020900888895201742,-0.06890149297700955,-0.03573611545585763,-0.04577669252864763,0.026841295113150095,-0.004653890137506944,-0.06307062726551635,-0.05063314482145931,-0.053572110065383684,0.013836087963476408,0.20927822909194693,0.20927822909194443,0.20927822909194502,4.301873655119399e-19,-0.056695205374302234,-0.05262997467688689,-0.049775833451241265,-0.06883914172772893,0.14127125113783603,0.11016533825187336,0.11644345928410994,0.0955655814762918,-0.20927822909194482,-0.20927822909194232,-0.20927822909194524,-0.2092782290919406,0.11279012787497293,0.07540993243461394,0.11264569091332786,-0.020979020979021046,-1
002322.XSHE,-0.23503627025949655,-0.10430487332813598,-0.5324435298308371,-0.04298712665997902,-0.6502184577365931,-0.5173623776406969,-0.38190247414985407,0.23389376438983306,0.5090551209476857,0.5225085297390465,0.8786639004236105,1.3230959379179983,-1.3555190626424127,-0.12988745854653794,-0.36116545517783505,0.6412042445940813,0.4290798025249353,-0.9778846665556651,-0.5311572504186902,-0.248386858990409,-0.5110416600688942,-0.694177780823102,-0.16389951403569417,0.7369462590833878,0.10608735658050632,0.10608735658050716,0.10608735658050635,4.301873655119399e-19,-0.6111486117443526,-0.48020060254651614,-0.2262107621591956,-0.49550425680124316,-0.5182368077944404,-0.32139924092448063,0.02030481100996899,-0.2841401884704838,-0.10608735658050611,-0.10608735658050575,-0.1060873565805068,-0.10608735658050644,-0.5914774774145912,-0.10103364216285357,-0.09498527918785903,-0.023529411764705688,-1
600358.XSHG,-0.5198915200418991,0.6043003099882446,0.8491444000224352,0.3937401400464132,0.02087478561318622,0.6015496529102375,0.8228742995491306,0.6563911951986533,0.8027098269870525,1.5329404268867117,1.5066992570805506,0.22213387385824893,1.035421280919872,1.3719307158760838,-0.6905002066135993,-0.3775868488287312,0.283999458356264,0.3134050616310563,-1.7481570350498985,0.37173084305936865,-0.07771894896005509,-0.0864557983131695,0.38330293234469587,-1.19827475274632,-0.6516098485843999,-0.6516098485843994,-0.6516098485844011,4.301873655119399e-19,-0.3666555680600725,-0.32376264943459565,-0.46237718386997956,-0.37271468757564974,-0.7546218777147947,-0.6318621878425938,-0.6941828248166686,-0.6828524773638284,0.6516098485843991,0.6516098485843996,0.6516098485843996,0.6516098485843995,-0.5315977134444938,-0.07734876684818431,-0.013467940377909634,-0.02390438247011939,-1
600570.XSHG,1.6933135968009514,0.10957334780330506,0.09540289663057533,-1.194687474096698,-0.6347679651412245,2.2855108262067976,-0.4398471479118164,1.6029585698889464,-0.3090412118108795,1.4234891252603985,1.02084874634256,-0.5588221862199394,-0.3802264132658517,1.1658719532769228,-0.6171254002684492,-0.6140080233178212,-0.5547153510094561,-1.905479959420996,0.6334783372351938,0.008984357795406248,0.19384213668286776,-0.05158359377594721,-0.4347054497924368,-0.05925925320307409,0.024983706542698155,0.024983706542698582,0.0249837065426983,4.301873655119399e-19,-0.8111235462097731,-0.8946502885015375,-0.9621507838741132,-1.1935248432995018,0.46057672035539277,0.6259363310209581,0.45546971312792445,0.8800822379561668,-0.02498370654269794,-0.02498370654269774,-0.024983706542697773,-0.024983706542698204,0.4240090613442445,0.35355002577001043,0.6156063801294221,-0.0249520153550864,-1
002530.XSHE,-0.09065859728520735,-0.20854294988377786,-0.12393795838625166,-0.1300850268615282,-0.04164064936002662,-0.08441979683518212,-0.05806655686743889,-0.10355797607955301,-0.06109648057277149,-0.1149985236100159,-0.11068362185281337,-0.07870392801349124,-0.11943800131178894,-0.04505317769505463,0.020900888895208646,-0.068901492977009,-0.03573611545586731,-0.04577669252864807,0.02684129511317267,-0.00465389013749493,-0.06307062726551727,-0.05063314482146317,-0.05357211006537333,0.013836087963462989,0.20927822909194055,0.20927822909193844,0.20927822909194144,4.301873655119399e-19,-0.05669520537429707,-0.052629974676884225,-0.04977583345124357,-0.06883914172773231,0.1412712511378404,0.11016533825187534,0.11644345928410899,0.09556558147628848,-0.20927822909194127,-0.20927822909193833,-0.2092782290919398,-0.20927822909193738,0.11279012787495062,0.07540993243462037,0.11264569091332463,-0.03651115618661249,-1
